month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2019-04-01 04:00:00+00:00,Weekday,22,Silver Line,823061,37412,3429
2019-08-01 04:00:00+00:00,Weekday,22,Silver Line,823813,37446,3508
2019-07-01 04:00:00+00:00,Weekday,22,Silver Line,825192,37509,3587
2019-09-01 04:00:00+00:00,Weekday,20,Silver Line,738886,36944,3598
2018-11-01 04:00:00+00:00,Weekday,21,Silver Line,798509,38024,3608
2019-01-01 05:00:00+00:00,Weekday,21,Silver Line,728626,34696,3686
2018-12-01 05:00:00+00:00,Weekday,20,Silver Line,659334,32967,3688
2018-10-01 04:00:00+00:00,Weekday,23,Silver Line,879936,38258,3702
2018-09-01 04:00:00+00:00,Weekday,19,Silver Line,703816,37043,3711
2018-08-01 04:00:00+00:00,Weekday,23,Silver Line,859521,37370,3715
2018-07-01 04:00:00+00:00,Weekday,21,Silver Line,789279,37585,3719
2019-02-01 05:00:00+00:00,Weekday,19,Silver Line,655079,34478,3871
2024-12-01 05:00:00+00:00,Weekday,21,Bus,5253721,250177,9
2024-06-01 04:00:00+00:00,Weekday,20,Bus,5181514,259076,71
2024-11-01 04:00:00+00:00,Weekday,20,Bus,5646474,282324,111
2024-07-01 04:00:00+00:00,Weekday,22,Bus,5827384,264881,169
2024-09-01 04:00:00+00:00,Weekday,20,Bus,5987489,299374,215
2024-10-01 04:00:00+00:00,Weekday,22,Bus,6588892,299495,263
2024-05-01 04:00:00+00:00,Weekday,22,Bus,6210738,282306,323
2024-08-01 04:00:00+00:00,Weekday,22,Bus,5745304,261150,367
2024-03-01 05:00:00+00:00,Weekday,21,Bus,5798089,276099,474
2024-02-01 05:00:00+00:00,Weekday,20,Bus,5325483,266274,476
2023-10-01 04:00:00+00:00,Weekday,22,Bus,6041841,274629,478
2024-01-01 05:00:00+00:00,Weekday,21,Bus,5304374,252589,575
2024-04-01 04:00:00+00:00,Weekday,22,Bus,5718315,259923,649
2023-11-01 04:00:00+00:00,Weekday,21,Bus,5628924,268044,654
2023-09-01 04:00:00+00:00,Weekday,20,Bus,5609479,280474,725
2023-12-01 05:00:00+00:00,Weekday,20,Bus,4903999,245200,777
2023-07-01 04:00:00+00:00,Weekday,20,Bus,4946173,247309,825
2023-08-01 04:00:00+00:00,Weekday,23,Bus,5611401,243974,876
2023-04-01 04:00:00+00:00,Weekday,20,Bus,4952698,247635,971
2023-05-01 04:00:00+00:00,Weekday,22,Bus,5867238,266693,987
2023-06-01 04:00:00+00:00,Weekday,22,Bus,5530092,251368,1031
2023-02-01 05:00:00+00:00,Weekday,19,Bus,4589920,241575,1099
2023-03-01 05:00:00+00:00,Weekday,23,Bus,5879290,255621,1195
2023-01-01 05:00:00+00:00,Weekday,20,Bus,4843446,242172,1213
2022-11-01 04:00:00+00:00,Weekday,21,Bus,5293748,252083,1258
2022-12-01 05:00:00+00:00,Weekday,21,Bus,4733062,225384,1313
2022-07-01 04:00:00+00:00,Weekday,20,Bus,4625947,231297,1316
2022-09-01 04:00:00+00:00,Weekday,21,Bus,5508602,262314,1338
2022-08-01 04:00:00+00:00,Weekday,23,Bus,5297690,230334,1473
2022-06-01 04:00:00+00:00,Weekday,22,Bus,5276170,239826,1530
2022-10-01 04:00:00+00:00,Weekday,21,Bus,5500695,261938,1565
2022-01-01 05:00:00+00:00,Weekday,20,Bus,3755424,187771,1640
2022-03-01 05:00:00+00:00,Weekday,23,Bus,5424495,235848,1738
2022-05-01 04:00:00+00:00,Weekday,21,Bus,5126095,244100,1816
2022-04-01 04:00:00+00:00,Weekday,21,Bus,4889521,232834,1817
2022-02-01 05:00:00+00:00,Weekday,19,Bus,4030462,212130,1821
2021-12-01 05:00:00+00:00,Weekday,23,Bus,4395765,191120,1880
2021-10-01 04:00:00+00:00,Weekday,21,Bus,4976726,236987,1943
2021-11-01 04:00:00+00:00,Weekday,21,Bus,4841965,230570,1990
2021-05-01 04:00:00+00:00,Weekday,20,Bus,3555724,177786,2049
2021-08-01 04:00:00+00:00,Weekday,22,Bus,4239478,192704,2135
2021-04-01 04:00:00+00:00,Weekday,22,Bus,3393364,154244,2219
2021-09-01 04:00:00+00:00,Weekday,21,Bus,4906341,233635,2277
2021-03-01 05:00:00+00:00,Weekday,23,Bus,3508582,152547,2297
2021-06-01 04:00:00+00:00,Weekday,22,Bus,4039965,183635,2302
2021-07-01 04:00:00+00:00,Weekday,22,Bus,3926407,178473,2346
2020-10-01 04:00:00+00:00,Weekday,22,Bus,3317220,150783,2404
2020-11-01 04:00:00+00:00,Weekday,20,Bus,2927925,146396,2429
2021-02-01 05:00:00+00:00,Weekday,19,Bus,2647925,139364,2433
2020-08-01 04:00:00+00:00,Weekday,21,Bus,2934128,139720,2435
2021-01-01 05:00:00+00:00,Weekday,19,Bus,2576787,135620,2437
2020-12-01 05:00:00+00:00,Weekday,22,Bus,3014925,137042,2608
2020-09-01 04:00:00+00:00,Weekday,21,Bus,3217411,153210,2621
2020-07-01 04:00:00+00:00,Weekday,23,Bus,3063922,133214,2630
2020-06-01 04:00:00+00:00,Weekday,22,Bus,2658286,120831,2804
2020-05-01 04:00:00+00:00,Weekday,20,Bus,1889808,94490,2830
2020-03-01 05:00:00+00:00,Weekday,22,Bus,4547611,206710,2901
2019-12-01 05:00:00+00:00,Weekday,21,Bus,6502513,309643,3069
2020-04-01 04:00:00+00:00,Weekday,22,Bus,1695919,77087,3149
2020-02-01 05:00:00+00:00,Weekday,19,Bus,6547625,344612,3154
2019-10-01 04:00:00+00:00,Weekday,23,Bus,8285653,360246,3161
2019-11-01 04:00:00+00:00,Weekday,20,Bus,6872558,343628,3184
2020-01-01 05:00:00+00:00,Weekday,21,Bus,7153034,340621,3195
2019-05-01 04:00:00+00:00,Weekday,23,Bus,7635732,331988,3210
2019-03-01 05:00:00+00:00,Weekday,21,Bus,7155921,340758,3220
2019-06-01 04:00:00+00:00,Weekday,20,Bus,6752289,337614,3234
2019-07-01 04:00:00+00:00,Weekday,22,Bus,7204590,327481,3365
2019-04-01 04:00:00+00:00,Weekday,22,Bus,7481108,340050,3480
2019-08-01 04:00:00+00:00,Weekday,22,Bus,7114857,323403,3513
2019-09-01 04:00:00+00:00,Weekday,20,Bus,7253134,362657,3599
2018-11-01 04:00:00+00:00,Weekday,21,Bus,7095324,337873,3609
2019-01-01 05:00:00+00:00,Weekday,21,Bus,6901437,328640,3692
2018-12-01 05:00:00+00:00,Weekday,20,Bus,6188521,309426,3694
2018-10-01 04:00:00+00:00,Weekday,23,Bus,8211792,357034,3708
2018-09-01 04:00:00+00:00,Weekday,19,Bus,6786676,357193,3717
2018-07-01 04:00:00+00:00,Weekday,21,Bus,6756927,321758,3762
2018-08-01 04:00:00+00:00,Weekday,23,Bus,7380833,320906,3764
2019-02-01 05:00:00+00:00,Weekday,19,Bus,6360567,334767,3876
